date,high,low,close,previous,diff,numtrans,tradedshares,volume
2024-03-19,611.6,556,611.6,0,611.6,133,2442,1479468.1
2024-03-20,672.7,619.7,672.7,611.6,61.10000000000002,120,2256,1512576.8
2024-03-21,739.9,686.1,739.9,672.7,67.19999999999993,182,7395,5466902.5
2024-03-25,813.8,754.6,813.8,739.9,73.89999999999998,630,26885,21870866.3
2024-03-26,895.1,830,895.1,813.8,81.30000000000007,674,28753,25721611.9
2024-03-27,984.6,913,984.6,895.1,89.5,570,22885,22525161.8
2024-03-28,1083,1004.2,1082.7,984.6,98.10000000000002,4262,178925,193762869.7
2024-03-31,1061.1,974.5,974.5,1082.7,-108.20000000000005,7620,290136,286893331.8
2024-04-01,970,882,941,974.5,-33.5,12940,514411,472917632.5
2024-04-02,959.8,911.5,925,941,-16,2692,103439,95728504.8
2024-04-03,930,895.2,895.5,925,-29.5,2941,139901,126785427
2024-04-04,888,843,843.1,895.5,-52.39999999999998,3334,211907,182471556.2
2024-04-07,897,829.9,881,843.1,37.89999999999998,1804,115268,99394797.1
2024-04-09,895,856,860,881,-21,1123,73522,63827087.3
2024-04-10,877.2,842,847,860,-13,988,67378,57065388.3
2024-04-14,845,819.3,821,847,-26,1108,68974,57118738.6
2024-04-15,835,801,804,821,-17,767,47047,38319102.9
2024-04-16,814,797,799,804,-5,874,57174,45981434.3
2024-04-18,799,767.8,767.8,799,-31.200000000000045,984,67132,52346171.9
2024-04-21,826.2,755.3,818,767.8,50.200000000000045,1342,99476,78829476.1
2024-04-22,833,796,796.5,818,-21.5,896,71892,58469846.2
2024-04-24,814,791,799.9,796.5,3.3999999999999773,456,34086,27259006.7
2024-04-25,815.8,785,786,799.9,-13.899999999999977,374,29537,23439923.4
2024-04-28,800,786.1,790,786,4,330,27398,21707587.1
2024-04-29,795.1,780.1,781,790,-9,349,26742,21073658.8
2024-04-30,800,777,785.9,781,4.899999999999977,636,51416,40527151.6
2024-05-02,798,775.9,776,785.9,-9.899999999999977,486,41060,32191936.5
2024-05-05,789.9,760,766,776,-10,550,39044,29914270.3
2024-05-06,775,760.2,765.9,766,-0.10000000000002274,382,32433,24864718.9
2024-05-07,781,755,757,765.9,-8.899999999999977,381,37466,28521301.9
2024-05-08,760,741,750,757,-7,427,36896,27577723.4
2024-05-09,760,745.2,745.2,750,-4.7999999999999545,327,26605,19957626.4
2024-05-12,784.9,743,772.1,745.2,26.899999999999977,710,69237,53244888.7
2024-05-13,778,760.1,765,772.1,-7.100000000000023,271,17153,13153827.5
2024-05-14,779,765,770,765,5,301,22078,16985593.1
2024-05-15,807,774,790,770,20,906,84415,67094375.2
2024-05-16,815,787,810,790,20,763,61620,49788050.5
2024-05-19,841.5,807.1,830,810,20,730,62629,51655110.2
2024-05-20,853.5,819,820,830,-10,877,121905,102575097.3
2024-05-21,835.9,811.5,811.5,820,-8.5,434,48249,39734055
2024-05-22,825,810,810.3,811.5,-1.2000000000000455,390,40109,32802103.5
2024-05-26,826.5,802,805,810.3,-5.2999999999999545,452,48335,39195458.6
2024-05-27,845.5,806,818,805,13,789,70092,58243627.5
2024-05-29,877.7,820,857.2,818,39.200000000000045,1522,165091,141056048.3
