date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-12-19,598,542,589,587,2,958,81779,46328067.8
2023-12-20,647.8,580,613.9,589,24.899999999999977,875,58536,35432619.5
2023-12-21,617,585,601.8,613.9,-12.100000000000023,504,23695,14135698.2
2023-12-24,620,573,590,601.8,-11.799999999999955,913,66610,39962240.5
2023-12-27,617,588.3,601,590,11,818,48433,29242889.1
2023-12-28,623.7,590,623.7,601,22.700000000000045,764,47088,28614414.5
2024-01-01,624,596.1,598,623.7,-25.700000000000045,549,38801,23476972.8
2024-01-02,598,575,575.9,598,-22.100000000000023,347,11352,6605156.1
2024-01-03,587,557.3,577,575.9,1.1000000000000227,395,14011,7953395.7
2024-01-04,597,565,579,577,2,416,18865,10824921.4
2024-01-07,579,556.7,557,579,-22,348,13668,7709400.6
2024-01-08,588.8,556,578.3,557,21.299999999999955,509,13638,7789478
2024-01-09,596,565,569,578.3,-9.299999999999955,346,16183,9319918.2
2024-01-10,600,558,565,569,-4,271,8167,4649795.3
2024-01-11,577.4,553.7,568,565,3,335,17710,9999809.7
2024-01-14,575,560,564,568,-4,291,10130,5741639.7
2024-01-16,575.2,565,571,564,7,413,20930,11913878.3
2024-01-17,580,561.2,569,571,-2,505,20555,11720546.7
2024-01-18,580.3,558,568,569,-1,478,22940,13000376.1
2024-01-21,571,557.6,557.6,568,-10.399999999999977,493,22047,12464603.8
2024-01-22,568.7,547,547.5,557.6,-10.100000000000023,437,11332,6275144.9
2024-01-23,558.4,535,540,547.5,-7.5,369,11015,5961191.6
2024-01-24,561,529,529,540,-11,343,13505,7258711.4
2024-01-25,539.5,525,530,529,1,346,12910,6821789.2
2024-01-28,539.5,526,534,530,4,283,5933,3151789.3
2024-01-29,545,526.2,544,534,10,414,10469,5614887
2024-01-30,561.8,541,554,544,10,454,15896,8793620
2024-01-31,554,531,538,554,-16,271,11111,6029756
2024-02-01,535,525,525,538,-13,287,14113,7463508
2024-02-04,525,516.1,516.1,525,-8.899999999999977,289,10730,5570828.2
2024-02-05,535,510,524,516.1,7.899999999999977,259,8817,4594534.3
2024-02-06,534.4,515,525,524,1,264,9077,4767455
2024-02-07,535.4,525,529.9,525,4.899999999999977,296,11985,6336830.5
2024-02-08,535,521.3,526,529.9,-3.8999999999999773,257,9429,4976215.2
2024-02-11,534,518,526,526,0,302,9878,5192605.7
2024-02-12,530,523,528.1,526,2.1000000000000227,259,8757,4612472.4
2024-02-13,529,518,525,528.1,-3.1000000000000227,223,11201,5840294.8
2024-02-14,528,514.5,523,525,-2,181,5802,3027037.1
2024-02-15,523,511,518,523,-5,261,6932,3588826.9
2024-02-18,530,508.9,514,518,-4,356,9705,4967724.3
2024-02-20,515,510,514,514,0,309,6900,3535517.6
2024-02-21,524,508,514,514,0,262,8831,4544948
2024-02-22,520,505,510,514,-4,355,6806,3467436.4
2024-02-25,519.8,499,501.5,510,-8.5,310,12596,6331039.1
2024-02-26,511.5,493,500,501.5,-1.5,197,5715,2863761.7
2024-02-27,510,490.2,492,500,-8,144,5407,2681505.7
2024-02-28,503,493.2,495,492,3,144,4967,2458835.1
2024-02-29,497.2,489,493,495,-2,138,6715,3305553.6
2024-03-03,496,480.5,491.5,493,-1.5,207,5753,2806814.4
2024-03-04,530.6,500,530.6,491.5,39.10000000000002,8,240,124458
2024-03-05,540.2,498,507,530.6,-23.600000000000023,254,11605,5900130.4
2024-03-06,517.1,490,499,507,-8,219,13104,6557831
2024-03-07,510,494,506,499,7,167,5241,2638026
2024-03-10,515,503,513,506,7,283,10951,5584953.2
2024-03-12,555,520,550,513,37,627,37203,20071094.1
2024-03-13,566,545,550,550,0,332,21282,11754794.4
2024-03-14,553,529.1,531,550,-19,333,21099,11331253.6
2024-03-17,535,520.5,529,531,-2,296,14765,7794855.8
2024-03-18,530,520,526.1,529,-2.8999999999999773,224,6473,3392099.5
2024-03-19,550,520.6,544,526.1,17.899999999999977,457,36876,19882082.4
2024-03-20,550,533,533,544,-11,197,7493,4031593.7
2024-03-21,538.9,524.1,532,533,-1,168,5452,2880307.5
2024-03-25,529,521.1,526,532,-6,195,7041,3690738.7
2024-03-26,536,518,523,526,-3,203,8240,4308441.3
2024-03-27,523,512.9,517.9,523,-5.100000000000023,207,9426,4873761.6
2024-03-28,528,510,517.9,517.9,0,230,6909,3538862.2
2024-03-31,518,508,509,517.9,-8.899999999999977,251,8992,4604259.9
2024-04-01,517,504,514,509,5,209,6350,3227533.6
2024-04-02,515.9,500.1,512,514,-2,219,8781,4446027.6
2024-04-03,519,510,515,512,3,220,5702,2933468
2024-04-04,515,508.1,511,515,-4,200,7877,4019795.2
2024-04-07,538,504,525,511,14,343,13476,7005857.2
2024-04-09,533,516,516,525,-9,323,22833,11931976.9
2024-04-10,521,512,512.4,516,-3.6000000000000227,206,11433,5882754.3
2024-04-14,513,505,508,512.4,-4.399999999999977,227,7178,3653364.9
2024-04-15,510,500.2,508,508,0,191,5349,2712564.1
2024-04-16,508,500,505.5,508,-2.5,155,5211,2631286.8
2024-04-18,505.5,489.1,499.3,505.5,-6.199999999999989,180,8680,4341237.4
2024-04-21,509,490,509,499.3,9.699999999999989,171,5184,2579049.6
2024-04-22,518.9,495,501,509,-8,164,7244,3626358.3
2024-04-24,502,491,497,501,-4,132,3807,1891294.8
2024-04-25,497,491,495,497,-2,145,4899,2424485.1
2024-04-28,513,495,501.8,495,6.800000000000011,194,7952,3976441.5
2024-04-29,511,495.1,499,501.8,-2.8000000000000114,136,4086,2039620.4
2024-04-30,510,489.1,510,499,11,251,9593,4818316.8
2024-05-02,520,505,509,510,-1,227,11478,5873378
2024-05-05,515,500,500,509,-9,170,9354,4701591.1
2024-05-06,510,498,499.5,500,-0.5,129,6190,3098834.3
2024-05-07,500,495,495,499.5,-4.5,123,5606,2786142.1
