date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-12-07,294.8,268,294.8,0,294.8,913,19904,5865241.2
2023-12-10,324.2,294.8,324.2,294.8,29.399999999999977,121,2670,862858
2023-12-11,343.9,294,308.9,324.2,-15.300000000000011,2044,59194,18439771.3
2023-12-12,339.7,303,339.7,308.9,30.80000000000001,1249,38412,12505782.8
2023-12-13,369.2,337.2,359,339.7,19.30000000000001,890,22084,7859310
2023-12-14,360,332.2,356,359,-3,767,34457,12010142.6
2023-12-17,357,340,349,356,-7,714,29427,10314237.3
2023-12-18,368,335,338,349,-11,644,37148,12984040.8
2023-12-19,344,332,337,338,-1,517,20458,6892134
2023-12-20,349.8,332,342.7,337,5.699999999999989,691,25207,8574939.4
2023-12-21,351.9,334,349,342.7,6.300000000000011,562,28146,9614558.8
2023-12-24,373,336.2,373,349,24,1040,76297,27586591
2023-12-27,410.3,380.4,410,373,37,1145,56574,22858305.6
2023-12-28,434,395,399,410,-11,831,39496,15917106.2
2024-01-01,409,376,376,399,-23,755,55904,21946217.6
2024-01-02,383,361.8,375,376,-1,475,28737,10626331.4
2024-01-03,396.9,370,391,375,16,513,24240,9338406.3
2024-01-04,406,382.5,385,391,-6,431,37543,14759287.3
2024-01-07,392.7,371,381,385,-4,356,20472,7893351.4
2024-01-08,419.1,378,419.1,381,38.10000000000002,840,59806,24420753
2024-01-09,461,427,461,419.1,41.89999999999998,728,81869,37219947.7
2024-01-10,490,462.7,474,461,13,760,65683,31078133.9
2024-01-11,521.4,460,521.4,474,47.39999999999998,1102,65095,32737398.6
2024-01-14,573.5,530,573.5,521.4,52.10000000000002,528,24670,13971554
2024-01-16,630.8,565,610,573.5,36.5,1496,76520,45006648.4
2024-01-17,623,562,579,610,-31,1161,63889,37977847.1
2024-01-18,589,560,576.1,579,-2.8999999999999773,907,37208,21456755.9
2024-01-21,621,565,580,576.1,3.8999999999999773,605,24577,14243137.6
2024-01-22,580,546,548,580,-32,477,20803,11662526.7
2024-01-23,559,520,527.4,548,-20.600000000000023,475,17540,9576574
2024-01-24,548.6,511,523.1,527.4,-4.2999999999999545,373,17935,9462960
2024-01-25,544.1,517,537,523.1,13.899999999999977,392,15807,8352568.1
2024-01-28,540,522,540,537,3,361,19972,10601043
2024-01-29,593,530,565,540,25,672,44215,25374022
2024-01-30,587.5,560,582,565,17,533,36448,20947870
2024-01-31,590,559,570,582,-12,337,25736,14555145
2024-02-01,562,545,545.1,570,-24.899999999999977,308,16874,9318594.7
2024-02-04,542,527.1,535,545.1,-10.100000000000023,238,7215,3857836.3
2024-02-05,545.7,530,531.5,535,-3.5,196,8095,4323924
2024-02-06,581,525,558,531.5,26.5,372,21102,11661784.3
2024-02-07,560,546.9,546.9,558,-11.100000000000023,176,16327,8995043.1
2024-02-08,600.7,550,600.7,546.9,53.80000000000007,1167,96650,56207644.4
2024-02-11,660,600,641,600.7,40.299999999999955,1244,90065,56677820.5
2024-02-12,641,615,630,641,-11,597,60405,37466054.6
2024-02-13,626,596,610,630,-20,465,43343,26563358.7
2024-02-14,608,586,590,610,-20,342,29362,17527453.3
2024-02-15,606,579,597,590,7,383,22153,13215877.5
2024-02-18,596.8,566,576,597,-21,358,19578,11330212.9
2024-02-20,611.7,565.1,595.6,576,19.600000000000023,346,20910,12171369.6
2024-02-21,603,568.4,570.4,595.6,-25.200000000000045,243,11216,6465151.3
2024-02-22,604,559,560,570.4,-10.399999999999977,287,17893,10143211.2
2024-02-25,568,541.5,541.5,560,-18.5,263,23748,13134288.3
2024-02-26,563.3,530.7,548.7,541.5,7.2000000000000455,163,6994,3763437.8
2024-02-27,570,537,543,548.7,-5.7000000000000455,145,11830,6418454.4
2024-02-28,564,525,535,543,-8,178,13270,7068586
2024-02-29,545,506,506.1,535,-28.899999999999977,202,17553,9083286.1
2024-03-03,515,496,512,506.1,5.899999999999977,205,10295,5197998.5
2024-03-04,563.2,522,563,512,51,19,6060,3403082
2024-03-05,574.2,529.2,539.8,563,-23.200000000000045,209,29740,16254505
2024-03-06,547.9,519.1,539.9,539.8,0.10000000000002274,188,14717,7891541
2024-03-07,560.1,522.5,531.9,539.9,-8,156,15157,8022318.5
2024-03-10,541.6,530.5,531.1,531.9,-0.7999999999999545,202,14027,7539216.1
2024-03-12,552,530,540,531.1,8.899999999999977,164,10246,5486663.9
2024-03-13,560,529.3,539.9,540,-0.10000000000002274,267,58823,32241125.8
2024-03-14,540,518.8,523,539.9,-16.899999999999977,159,16890,8892643.4
2024-03-17,530.4,512.6,530.4,523,7.399999999999977,192,11726,6112502.1
2024-03-18,525,510,519.6,530.4,-10.799999999999955,201,18174,9385360.8
2024-03-19,520,507,507,519.6,-12.600000000000023,168,9031,4650593.6
2024-03-20,513,499,503.9,507,-3.1000000000000227,210,18300,9219359.5
2024-03-21,510,493.9,495,503.9,-8.899999999999977,146,12153,6057530.7
2024-03-25,494.8,482,483,495,-12,130,7204,3508427
2024-03-26,508,475,505,483,22,172,10080,4975485.4
2024-03-27,509.9,487.1,494.9,505,-10.100000000000023,132,11134,5533049.5
2024-03-28,499.9,478,493.9,494.9,-1,123,9852,4777514
2024-03-31,500,485,490,493.9,-3.8999999999999773,125,6020,2951595.4
2024-04-01,497.9,482.1,491.9,490,1.8999999999999773,114,5949,2899343
2024-04-02,499,477.5,481,491.9,-10.899999999999977,110,8754,4248778.7
2024-04-03,489,473.6,479.8,481,-1.1999999999999886,138,9920,4735166.5
2024-04-04,480,471,480,479.8,0.19999999999998863,101,5888,2792251.5
2024-04-07,484,473.9,480,480,0,161,7817,3729338.1
2024-04-09,499,474,487,480,7,235,31422,15172431.5
2024-04-10,507,482.3,505,487,18,304,27432,13643049.8
2024-04-14,509,492,495,505,-10,139,9835,4909138.2
2024-04-15,499,475.3,485,495,-10,154,13303,6373288.5
2024-04-16,490,475.6,477,485,-8,107,6979,3342428
2024-04-18,486.5,462,467,477,-10,106,8320,3892198
2024-04-21,474.9,460.2,474.9,467,7.899999999999977,114,6058,2821709
2024-04-22,477,458.7,458.7,474.9,-16.19999999999999,73,3747,1740934.2
2024-04-24,474.6,449,469.9,458.7,11.199999999999989,195,23765,10859478.4
2024-04-25,474.3,449,470,469.9,0.10000000000002274,187,16549,7546805.5
2024-04-28,497,453,497,470,27,167,10480,4899278.6
2024-04-29,488,459,485,497,-12,176,14215,6833500.5
2024-04-30,494.7,457.7,489,485,4,161,9400,4500597
2024-05-02,491,474,474,489,-15,136,9277,4444547.9
2024-05-05,501,453.1,460,474,-14,154,9750,4516338.5
